,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX,,
2300,20180918,61.1625,61.9454,60.9668,61.9461,1077110,1.0832,62.387,12.9219,x,
2301,20180919,62.3368,62.3368,61.7497,61.9461,1075000,1.0826,65.6341,13.1553,x,
2302,20180920,61.9454,63.2176,61.9454,63.0226,1709890,1.1003,73.8785,13.9946,x,
2303,20180921,63.609,64.294,62.6304,63.2183,4889170,1.1027,77.1927,15.4198,x,
2304,20180924,64.0983,64.294,63.4133,63.8055,1094970,1.1118,87.1811,16.7432,x,
2305,20180925,63.0218,63.8047,63.0218,63.0226,1031520,1.0977,87.8649,17.5096,x,
2306,20180926,63.0218,63.5111,62.4347,62.4354,2099660,1.087,78.2241,17.5621,x,
2307,20180927,62.0432,62.8261,61.8475,62.044,2121040,1.0795,58.2241,16.9998,x,
2308,20180928,62.3368,62.6304,61.6518,61.6525,2104400,1.0715,38.2241,16.2794,x,
2309,20181001,62.1411,62.1411,61.1625,61.1632,1932610,1.0621,18.2241,15.1233,x,
2310,20181002,61.1625,61.7497,60.8689,61.6525,1601040,1.0698,7.5591,14.3194,x,
2311,20181003,62.0432,62.1411,61.1625,61.6525,1034920,1.069,7.2189,13.4192,x,
2312,20181004,61.6518,62.6304,61.4561,61.6525,2298750,1.0679,10.8283,13.0573,x,
2313,20181005,61.9438,62.4393,61.5473,61.5535,1633520,1.0651,13.5485,12.7213,x,
2314,20181008,61.4482,61.8446,61.0518,61.0579,1347760,1.0555,13.5485,11.8406,x,
2315,20181009,61.25,61.6464,61.0518,61.157,868060,1.056,10.8469,11.0229,x,
2316,20181010,61.3491,61.4482,60.8535,61.157,781330,1.0543,8.1453,10.444,x,
2317,20181011,57.1865,59.466,56.9883,57.1922,3432840,0.9853,4.5359,12.743,x,
2318,20181012,56.4984,59.3729,56.4984,59.3729,2266290,1.0216,10.8619,15.0945,x,
2319,20181015,59.2678,59.466,58.1776,58.5799,1155630,1.0063,18.8581,17.1667,x,
2320,20181016,58.4749,59.0696,58.3758,58.679,1079700,1.0058,27.1309,19.0908,x,
2321,20181017,58.6731,59.3669,58.574,58.679,1293490,1.0041,36.2698,20.4849,x,
2322,20181018,58.4808,58.679,57.3905,57.4896,1605080,0.9827,42.2289,22.3957,x,
2323,20181019,56.4927,58.0785,56.4927,57.1922,1188910,0.9769,38.1962,24.5581,x,
