<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CVPB2012,20210204,6.5,7.2,6.5,6.89,307700
CVPB2013,20210204,8.2,9.6,8.2,9.2,33500
CVPB2014,20210204,5.2,6.3,5.2,5.67,16400
CVPB2015,20210204,11.1,12.5,11.1,11.88,139100
CVPB2016,20210204,9.52,10.9,9.51,10.06,185600
CVPB2017,20210204,2.22,2.44,2.21,2.4,86100
VIB,20210203,32.5,33.9,32.0,33.9,541300
VPB,20210203,34.0,35.45,33.5,35.45,7212700
VCB,20210203,97.9,99.0,96.6,98.9,1454600
TPB,20210203,25.8,27.05,25.6,26.8,1899400
TCB,20210203,34.5,35.5,34.0,35.0,18238700
STB,20210203,17.35,18.2,17.15,18.0,27109800
OCB,20210203,20.6,21.4,20.4,21.4,5828400
LPB,20210203,12.7,13.25,12.4,13.25,9285600
MBB,20210203,23.7,24.35,23.4,24.25,19837900
MSB,20210203,16.4,17.5,16.4,17.5,3625100
HDB,20210203,23.4,24.1,23.2,24.0,4470000
EIB,20210203,17.4,18.0,17.25,17.9,1616400
CTG,20210203,34.5,35.25,34.0,34.9,10075600
BID,20210203,40.1,41.5,39.7,41.35,1851900
ACB,20210203,27.35,28.2,27.2,28.1,7054500
CEIB2001,20210203,1.55,1.6,1.43,1.6,31000
CHDB2007,20210203,2.6,2.6,2.35,2.53,446900
CHDB2008,20210203,2.29,2.3,2.0,2.21,69300
CHDB2101,20210203,2.2,2.2,2.01,2.18,90100
CMBB2008,20210203,7.0,7.98,7.0,7.71,75900
CMBB2009,20210203,4.3,4.58,4.1,4.51,310600
CMBB2010,20210203,9.19,9.19,8.11,9.0,102200
CMBB2011,20210203,7.93,8.4,7.55,8.39,91600
CSTB2006,20210203,3.5,3.5,3.0,3.45,25500
CSTB2007,20210203,3.35,3.67,3.25,3.6,432400
CSTB2010,20210203,3.48,3.48,2.9,3.37,202200
CSTB2011,20210203,3.55,4.1,3.31,3.9,339200
CSTB2012,20210203,4.65,5.48,4.58,5.15,344300
CSTB2013,20210203,5.3,6.19,5.3,6.15,467100
CSTB2014,20210203,5.97,6.55,5.78,6.31,327900
CSTB2015,20210203,1.93,2.1,1.62,1.99,337100
CSTB2016,20210203,2.5,2.6,2.25,2.6,74700
CSTB2017,20210203,3.3,4.1,3.3,3.9,20300
CSTB2101,20210203,2.48,2.48,2.22,2.3,94400
CTCB2009,20210203,12.0,13.01,11.91,12.76,142300
CTCB2010,20210203,6.35,7.2,6.35,6.9,264400
CTCB2011,20210203,11.1,12.5,10.3,12.5,17800
CTCB2012,20210203,13.33,14.7,13.33,14.42,255000
CTCB2013,20210203,12.5,12.9,11.7,12.55,70900
CTCB2101,20210203,10.4,10.4,9.0,9.3,42700
CVPB2010,20210203,10.25,11.5,10.24,11.4,48500
CVPB2011,20210203,5.35,6.1,5.3,5.97,374600
CVPB2012,20210203,5.93,6.39,5.9,6.39,317400
CVPB2013,20210203,8.15,8.27,7.91,8.25,36000
CVPB2014,20210203,4.96,5.6,4.96,5.6,12500
CVPB2015,20210203,9.73,11.21,9.73,11.21,266400
CVPB2016,20210203,7.79,9.53,7.79,9.52,346900
CVPB2017,20210203,2.25,2.46,2.25,2.45,45500
VPB,20210202,31.0,33.15,31.0,33.15,4539500
VCB,20210202,92.0,96.7,92.0,96.5,1064500
VIB,20210202,31.0,32.0,31.0,31.95,387700
TPB,20210202,24.35,25.5,24.0,25.3,1646100
TCB,20210202,32.2,34.1,31.95,34.0,13498900
STB,20210202,16.4,17.2,16.0,17.15,20756400
OCB,20210202,20.0,20.35,19.6,20.35,4126000
LPB,20210202,11.8,12.5,11.6,12.4,7866100
MBB,20210202,22.6,23.4,21.95,23.35,14396700
MSB,20210202,16.0,16.8,16.0,16.55,1491900
HDB,20210202,22.2,23.5,21.95,23.2,3057100
EIB,20210202,17.0,17.6,16.7,17.5,1296200
CTG,20210202,31.8,34.0,31.7,33.9,7767300
ACB,20210202,26.65,27.4,26.35,27.35,6544600
BID,20210202,38.9,39.95,38.55,39.35,2497300
CEIB2001,20210202,1.43,1.58,1.43,1.55,17100
CHDB2007,20210202,2.07,2.4,2.01,2.4,240700
CHDB2008,20210202,1.6,2.1,1.6,2.0,85900
CHDB2101,20210202,1.95,2.05,1.8,2.04,107400
CMBB2008,20210202,5.96,6.91,5.77,6.91,91500
CMBB2009,20210202,3.3,4.04,3.3,4.0,283500
CMBB2010,20210202,7.34,8.02,7.0,7.8,241800
CMBB2011,20210202,6.46,7.53,6.32,7.28,94500
CSTB2006,20210202,2.2,3.0,2.2,3.0,24000
CSTB2007,20210202,2.91,3.28,2.81,3.25,318200
CSTB2010,20210202,2.64,2.9,2.47,2.89,139400
CSTB2011,20210202,3.39,3.39,2.6,3.3,247200
CSTB2012,20210202,3.53,4.6,3.53,4.34,76900
CSTB2013,20210202,4.51,5.3,4.28,5.3,311900
CSTB2014,20210202,5.1,5.77,4.61,5.6,321200
CSTB2015,20210202,1.2,1.89,1.2,1.61,383900
CSTB2016,20210202,1.95,2.35,1.8,2.35,20400
CSTB2017,20210202,2.5,3.45,2.5,3.19,31700
CSTB2101,20210202,2.64,2.64,1.8,2.2,90000
CTCB2009,20210202,10.19,12.0,10.0,12.0,75500
CTCB2010,20210202,5.8,6.49,5.45,6.35,256600
CTCB2011,20210202,9.6,11.3,9.6,11.0,13400
CTCB2012,20210202,11.8,13.05,11.4,13.0,212900
CTCB2013,20210202,10.2,11.67,9.85,11.62,245300
CTCB2101,20210202,7.5,9.55,7.5,9.47,29600
CVPB2010,20210202,7.92,9.5,7.61,9.5,19100
CVPB2011,20210202,3.61,5.27,3.61,5.19,253600
CVPB2012,20210202,3.6,5.24,3.6,5.24,402700
CVPB2013,20210202,5.45,7.14,5.45,5.98,11600
CVPB2014,20210202,3.7,4.67,3.6,4.67,84400
CVPB2015,20210202,7.4,9.1,7.2,9.1,418600
CVPB2016,20210202,5.41,7.25,5.41,7.25,397100
CVPB2017,20210202,2.46,2.46,2.24,2.46,5900
VPB,20210201,30.2,31.65,30.0,31.0,8096300
VIB,20210201,32.0,32.0,30.7,31.05,284300
TPB,20210201,25.4,25.95,23.95,24.35,1379600
STB,20210201,17.0,17.45,16.1,16.1,23123900
TCB,20210201,32.0,33.5,31.55,32.2,15146700
OCB,20210201,20.8,20.8,19.6,19.7,6397000
LPB,20210201,12.45,12.75,11.95,12.0,8298100
MBB,20210201,23.0,23.5,21.95,22.0,16163000
HDB,20210201,22.4,23.15,21.8,22.2,3380300
EIB,20210201,16.85,17.5,16.85,17.5,1126000
CTG,20210201,31.8,32.6,31.5,32.0,12315100
BID,20210201,39.9,41.0,38.65,39.1,1545000
ACB,20210201,26.8,27.4,26.3,26.65,7528200
CEIB2001,20210201,1.64,1.68,1.54,1.54,57000
CHDB2007,20210201,2.49,2.55,2.02,2.09,160000
CHDB2008,20210201,2.06,2.06,1.8,1.9,45400
CHDB2101,20210201,2.1,2.13,2.05,2.05,96600
CMBB2008,20210201,7.0,7.0,5.7,5.7,65400
CMBB2009,20210201,4.09,4.11,3.23,3.58,165300
CMBB2010,20210201,7.79,8.3,7.0,7.19,115100
CMBB2011,20210201,7.93,7.93,6.48,6.48,68300
CSTB2006,20210201,3.74,3.74,2.64,2.64,8900
CSTB2007,20210201,3.21,3.41,2.85,2.98,145700
CSTB2010,20210201,2.8,3.52,2.5,2.53,151500
CSTB2011,20210201,4.49,4.49,2.65,2.84,171400
CSTB2012,20210201,4.22,4.9,3.8,4.15,67900
CSTB2013,20210201,5.13,5.4,4.43,4.58,202300
CSTB2014,20210201,5.64,5.98,4.88,5.0,317400
CSTB2015,20210201,1.8,1.9,1.33,1.39,448000
CSTB2016,20210201,2.3,2.85,1.8,2.3,286300
CSTB2017,20210201,3.0,4.3,2.5,3.1,27000
CSTB2101,20210201,2.8,3.0,2.23,2.23,243800
CTCB2009,20210201,11.1,11.11,9.83,10.0,22700
CTCB2010,20210201,5.92,6.83,5.22,6.0,88000
CTCB2011,20210201,9.1,11.8,9.1,9.7,17600
CTCB2012,20210201,11.84,12.74,10.5,11.79,124100
CTCB2013,20210201,10.73,11.05,9.4,10.2,395900
CTCB2101,20210201,9.55,10.05,8.0,9.5,37300
CVPB2010,20210201,7.35,8.0,7.12,7.92,61300
CVPB2011,20210201,3.57,4.38,3.57,4.2,180800
CVPB2012,20210201,3.8,4.71,3.8,4.17,678400
CVPB2013,20210201,5.99,5.99,3.93,5.45,14000
CVPB2014,20210201,3.52,3.75,3.4,3.6,25000
CVPB2015,20210201,8.7,8.7,6.69,7.41,169800
CVPB2016,20210201,6.89,6.89,4.82,5.34,379800
CVPB2017,20210201,2.29,2.6,2.29,2.45,35800
MSB,20210201,16.8,16.8,15.9,16.6,1864400
VCB,20210201,96.0,96.0,91.0,91.1,1309600
VPB,20210129,28.2,31.7,28.2,30.0,7679900
VIB,20210129,29.2,32.0,29.2,31.6,457900
VCB,20210129,85.5,96.9,85.5,93.0,1359000
TPB,20210129,22.0,24.95,22.0,24.95,3775400
STB,20210129,15.5,17.15,15.5,16.9,31230400
TCB,20210129,29.6,33.35,29.6,32.0,27420900
MSB,20210129,15.1,17.0,15.1,16.9,3033900
OCB,20210129,19.6,19.6,18.6,19.6,6203000
LPB,20210129,11.8,13.15,11.8,12.65,11086300
MBB,20210129,21.3,23.5,21.3,23.45,19607700
HDB,20210129,20.2,23.2,20.2,22.3,5395400
EIB,20210129,17.0,18.0,16.85,16.85,2393800
CTG,20210129,28.8,32.4,28.8,30.5,14819400
ACB,20210129,24.5,26.9,24.5,26.8,7621200
BID,20210129,36.5,40.85,36.5,39.9,2008200
CEIB2001,20210129,1.44,1.64,1.44,1.64,53500
CHDB2007,20210129,1.65,2.53,1.65,2.49,152600
CHDB2008,20210129,1.24,2.16,1.24,2.06,80400
CHDB2101,20210129,1.52,2.12,1.52,2.1,264800
CMBB2008,20210129,5.33,7.09,5.33,6.75,210500
CMBB2009,20210129,2.96,4.11,2.96,3.84,270000
CMBB2010,20210129,6.04,8.05,6.04,7.75,80100
CMBB2011,20210129,5.01,7.6,5.01,7.0,135200
CSTB2006,20210129,2.34,3.44,2.34,3.2,55500
CSTB2007,20210129,2.25,3.33,2.25,3.3,97100
CSTB2010,20210129,1.97,3.07,1.97,3.07,76600
CSTB2011,20210129,2.74,3.5,2.6,3.41,503300
CSTB2012,20210129,2.7,4.7,2.7,4.6,480200
CSTB2013,20210129,4.37,5.5,3.97,5.38,519200
CSTB2014,20210129,3.81,5.79,3.81,5.64,332200
CSTB2015,20210129,1.07,2.1,1.07,1.75,195800
CSTB2016,20210129,2.05,3.1,2.05,2.29,255100
CSTB2017,20210129,2.4,3.89,2.4,3.45,55800
CSTB2101,20210129,1.73,2.8,1.73,2.8,463400
CTCB2009,20210129,8.45,11.68,8.45,11.68,247800
CTCB2010,20210129,3.9,5.93,3.9,5.92,305400
CTCB2011,20210129,8.0,9.6,6.8,9.6,48800
CTCB2012,20210129,8.6,12.65,8.6,12.65,573800
CTCB2013,20210129,7.0,11.0,7.0,10.73,471300
CTCB2101,20210129,7.3,9.55,7.3,9.55,44100
CVPB2010,20210129,5.01,7.9,5.01,7.65,87600
CVPB2011,20210129,2.6,4.5,2.6,4.35,277400
CVPB2012,20210129,3.47,4.49,3.31,4.21,176100
CVPB2013,20210129,3.88,7.0,3.88,6.0,9300
CVPB2014,20210129,2.28,4.32,2.28,3.51,48100
CVPB2015,20210129,5.92,7.75,5.59,6.8,301900
CVPB2016,20210129,3.22,5.96,3.22,5.34,337600
CVPB2017,20210129,2.25,2.65,2.25,2.5,60100
VIB,20210128,31.2,33.0,31.15,31.15,1079800
VPB,20210128,29.7,30.9,29.65,29.65,8709000
VCB,20210128,92.0,93.3,90.6,90.6,1205500
TPB,20210128,23.35,24.3,23.35,23.35,4594000
TCB,20210128,31.5,33.0,31.2,31.2,27121100
STB,20210128,16.15,16.95,16.05,16.05,45050900
OCB,20210128,18.35,20.9,18.35,18.35,7273800
LPB,20210128,12.6,12.95,12.6,12.6,12732500
MBB,20210128,22.5,23.0,22.35,22.35,20362200
MSB,20210128,16.2,16.9,16.2,16.2,1906300
HDB,20210128,21.7,22.3,21.7,21.7,4508900
EIB,20210128,16.7,18.1,16.5,18.1,2110100
BID,20210128,39.0,40.0,38.45,38.45,2692000
CTG,20210128,30.75,31.9,30.35,30.35,13297400
ACB,20210128,26.0,26.7,25.6,25.6,15154800
CEIB2001,20210128,1.55,1.55,1.55,1.55,8800
CHDB2007,20210128,2.12,2.63,2.12,2.12,85900
CHDB2008,20210128,1.8,1.81,1.71,1.71,134200
CHDB2101,20210128,1.9,1.91,1.82,1.82,178800
CMBB2008,20210128,7.11,7.11,7.11,7.11,13000
CMBB2009,20210128,3.85,4.37,3.85,3.85,231700
CMBB2010,20210128,8.0,8.0,6.85,6.85,272800
CMBB2011,20210128,6.45,6.92,6.45,6.45,116800
CSTB2006,20210128,2.95,3.17,2.89,2.89,15300
CSTB2007,20210128,3.0,3.0,2.78,2.78,215600
CSTB2010,20210128,2.52,3.0,2.52,2.52,173300
CSTB2011,20210128,2.9,3.93,2.8,2.8,372800
CSTB2012,20210128,3.62,4.8,3.6,3.6,411500
CSTB2013,20210128,6.0,6.0,4.8,4.8,408800
CSTB2014,20210128,4.8,5.42,4.8,4.8,321400
CSTB2015,20210128,1.65,1.75,1.59,1.59,76600
CSTB2016,20210128,2.8,2.8,2.6,2.6,33400
CSTB2017,20210128,2.85,4.0,2.8,2.8,95100
CSTB2101,20210128,2.25,2.8,2.25,2.25,98900
CTCB2009,20210128,10.6,13.0,10.6,10.6,104100
CTCB2010,20210128,4.92,5.9,4.86,4.86,496600
CTCB2011,20210128,8.7,10.0,8.7,8.7,49400
CTCB2012,20210128,10.5,12.4,10.5,10.5,822500
CTCB2013,20210128,10.4,10.72,9.11,9.11,443200
CTCB2101,20210128,8.0,9.1,7.4,7.4,91200
CVPB2010,20210128,7.28,7.28,7.06,7.06,15400
CVPB2011,20210128,3.6,4.31,3.6,3.6,111500
CVPB2012,20210128,3.52,4.1,3.5,3.5,93600
CVPB2013,20210128,5.93,5.93,5.93,5.93,1000
CVPB2014,20210128,3.3,3.6,3.3,3.3,7900
CVPB2015,20210128,7.4,7.4,5.92,5.92,551600
CVPB2016,20210128,4.41,5.44,4.3,4.3,543000
CVPB2017,20210128,2.46,2.46,2.45,2.45,6300
VPB,20210127,33.0,34.5,31.6,31.85,8073900
VIB,20210127,33.0,33.9,32.8,33.45,842600
VCB,20210127,99.1,100.0,93.9,97.4,1566800
TPB,20210127,26.0,26.6,24.9,25.1,2839900
TCB,20210127,34.25,35.25,32.65,33.5,18775400
STB,20210127,17.8,18.65,17.0,17.25,32158500
MSB,20210127,17.9,17.95,17.0,17.4,2240000
LPB,20210127,13.8,14.05,13.4,13.5,9796200
MBB,20210127,24.8,25.25,23.85,24.0,22798000
HDB,20210127,24.05,24.75,23.0,23.3,4373100
EIB,20210127,18.85,18.85,17.6,17.7,1712100
BID,20210127,42.55,43.4,40.6,41.3,2102100
CTG,20210127,34.2,35.15,32.5,32.6,9544300
ACB,20210127,27.8,28.35,27.2,27.5,6387700
CEIB2001,20210127,1.8,1.8,1.67,1.67,86500
CHDB2007,20210127,2.42,2.77,2.42,2.64,232900
CHDB2008,20210127,2.35,2.5,2.21,2.21,88600
CHDB2101,20210127,2.48,2.48,2.14,2.14,244900
CMBB2008,20210127,8.88,9.0,7.45,9.0,102700
CMBB2009,20210127,3.9,5.1,3.9,4.79,305800
CMBB2010,20210127,9.1,9.87,8.5,8.5,416900
CMBB2011,20210127,8.84,9.22,8.0,8.1,96800
CSTB2006,20210127,3.49,3.7,3.2,3.49,36200
CSTB2007,20210127,3.8,4.4,3.38,3.38,120600
CSTB2010,20210127,3.49,3.57,3.0,3.12,207000
CSTB2011,20210127,3.85,5.15,3.75,4.0,299700
CSTB2012,20210127,4.8,6.5,4.76,4.8,355600
CSTB2013,20210127,6.03,6.76,5.51,6.0,479100
CSTB2014,20210127,6.81,7.2,5.89,6.0,284200
CSTB2015,20210127,2.21,2.79,2.18,2.19,164300
CSTB2016,20210127,2.9,3.2,2.28,3.2,325300
CSTB2017,20210127,4.01,5.0,3.61,4.0,145700
CSTB2101,20210127,3.44,3.61,2.82,2.85,203000
CTCB2009,20210127,12.33,13.1,11.3,12.9,72800
CTCB2010,20210127,6.8,7.0,5.79,6.01,152900
CTCB2011,20210127,12.6,12.6,10.3,11.0,40500
CTCB2012,20210127,14.0,14.29,12.03,12.8,185100
CTCB2013,20210127,12.0,12.7,10.68,11.41,191300
CTCB2101,20210127,11.0,12.5,9.5,9.6,36300
CVPB2010,20210127,10.0,10.4,8.77,9.26,26800
CVPB2011,20210127,5.45,5.48,4.36,4.7,245200
CVPB2012,20210127,5.6,5.6,4.56,4.6,229700
CVPB2013,20210127,6.7,9.0,6.7,8.13,1500
CVPB2014,20210127,4.81,4.81,4.13,4.4,52400
CVPB2015,20210127,9.72,9.77,7.95,8.12,300400
CVPB2016,20210127,8.0,8.0,6.18,6.5,209400
CVPB2017,20210127,2.67,2.89,2.67,2.67,39200
VPB,20210126,35.5,35.55,33.4,33.85,6629100
VCB,20210126,102.5,102.5,99.0,100.9,970500
VIB,20210126,34.15,34.15,33.0,33.1,500000
TPB,20210126,27.2,27.3,26.0,26.7,2712200
STB,20210126,19.3,19.3,18.05,18.1,32302200
TCB,20210126,35.5,35.8,33.5,35.0,18111400
LPB,20210126,14.2,14.2,13.5,13.85,10126700
MBB,20210126,25.15,25.6,23.75,25.6,19797100
MSB,20210126,18.4,18.4,17.5,18.2,2076500
HDB,20210126,25.4,25.4,24.0,24.5,3770100
EIB,20210126,20.1,20.1,18.6,18.8,780700
CTG,20210126,36.5,36.55,34.5,34.5,8285900
ACB,20210126,28.05,28.65,27.5,27.8,8096200
BID,20210126,44.35,44.35,41.8,42.55,1836800
CEIB2001,20210126,1.84,1.85,1.79,1.8,48500
CHDB2007,20210126,3.0,3.1,2.63,2.71,239200
CHDB2008,20210126,2.7,2.7,2.43,2.5,133100
CHDB2101,20210126,2.77,2.77,2.17,2.48,366100
CMBB2008,20210126,8.85,8.85,7.62,8.17,86600
CMBB2009,20210126,5.35,5.35,4.25,4.8,371700
CMBB2010,20210126,9.65,10.09,8.5,8.86,444900
CMBB2011,20210126,9.16,9.16,7.9,8.54,216200
CSTB2006,20210126,3.51,4.0,3.49,3.49,115900
CSTB2007,20210126,4.3,4.5,3.96,4.0,85000
CSTB2010,20210126,3.82,4.0,3.51,3.51,278600
CSTB2011,20210126,5.21,5.89,4.7,5.0,400100
CSTB2012,20210126,6.8,6.8,6.0,6.0,228200
CSTB2013,20210126,7.55,7.55,6.4,6.5,334500
CSTB2014,20210126,8.0,8.0,6.71,6.9,306300
CSTB2015,20210126,3.06,3.1,2.6,2.8,91000
CSTB2016,20210126,3.1,3.4,2.8,2.9,175000
CSTB2017,20210126,5.2,5.4,4.7,4.7,86100
CSTB2101,20210126,4.06,4.06,3.4,3.43,177600
CTCB2009,20210126,11.87,13.5,11.86,12.33,61100
CTCB2010,20210126,7.03,7.3,6.64,6.8,220200
CTCB2011,20210126,13.0,13.5,12.3,12.75,41900
CTCB2012,20210126,14.41,15.02,13.5,13.99,629900
CTCB2013,20210126,13.3,13.46,11.7,11.74,68600
CTCB2101,20210126,10.5,10.5,9.59,10.5,235500
CVPB2010,20210126,11.54,12.02,10.6,10.6,35200
CVPB2011,20210126,5.4,6.0,5.1,5.48,96400
CVPB2012,20210126,6.14,6.57,5.6,5.68,136800
CVPB2013,20210126,7.48,9.48,7.47,9.03,10800
CVPB2014,20210126,5.9,5.9,5.3,5.3,35500
CVPB2015,20210126,10.87,10.87,9.75,9.75,57300
CVPB2016,20210126,9.11,9.34,7.8,8.0,153400
CVPB2017,20210126,2.9,3.0,2.79,2.9,47100
VPB,20210125,36.4,36.4,35.6,35.9,3524100
VIB,20210125,34.2,34.2,33.8,34.15,411700
VCB,20210125,101.1,103.0,101.1,102.5,725900
TPB,20210125,27.7,27.75,27.2,27.3,1988200
TCB,20210125,35.75,36.35,35.6,35.8,15639600
STB,20210125,19.7,19.9,19.35,19.35,28071700
LPB,20210125,14.3,14.45,14.15,14.3,9574400
MBB,20210125,25.4,25.8,25.15,25.2,10924900
MSB,20210125,18.6,18.6,18.3,18.4,2317700
HDB,20210125,26.1,26.1,25.5,25.65,2373100
EIB,20210125,20.35,20.35,19.7,20.0,936400
CTG,20210125,37.3,37.55,36.5,36.8,6580500
BID,20210125,45.0,45.2,44.4,44.6,1371900
ACB,20210125,28.3,28.5,28.05,28.1,7683600
CEIB2001,20210125,1.98,1.98,1.84,1.93,72400
CHDB2007,20210125,3.3,3.3,3.13,3.2,130400
CHDB2008,20210125,2.7,2.95,2.55,2.8,85400
CHDB2101,20210125,2.52,2.52,2.19,2.52,334500
CMBB2008,20210125,9.61,9.61,8.99,9.37,82100
CMBB2009,20210125,5.6,5.6,5.11,5.25,211900
CMBB2010,20210125,10.05,10.26,9.77,10.07,269600
CMBB2011,20210125,9.71,9.75,9.41,9.49,92100
CSTB2006,20210125,4.7,4.7,4.03,4.16,86500
CSTB2007,20210125,4.7,4.77,4.45,4.63,79500
CSTB2010,20210125,3.98,4.25,3.98,4.14,200400
CSTB2011,20210125,5.72,6.29,5.65,5.9,123000
CSTB2012,20210125,6.92,7.19,6.89,6.9,436900
CSTB2013,20210125,7.73,8.08,7.57,7.57,171000
CSTB2014,20210125,8.15,8.25,8.0,8.0,231800
CSTB2015,20210125,2.93,3.55,2.93,3.06,194200
CSTB2016,20210125,3.66,3.7,3.2,3.32,205400
CSTB2017,20210125,5.71,5.71,5.25,5.25,68800
CSTB2101,20210125,3.5,4.1,3.43,4.05,176700
CTCB2009,20210125,15.15,15.15,13.82,14.35,28300
CTCB2010,20210125,7.84,7.84,7.21,7.65,247900
CTCB2011,20210125,13.59,13.59,13.0,13.0,6300
CTCB2012,20210125,15.05,15.63,15.01,15.21,26500
CTCB2013,20210125,13.5,13.88,13.4,13.5,224000
CTCB2101,20210125,8.0,8.0,8.0,8.0,63300
CVPB2010,20210125,12.37,12.47,12.1,12.47,11100
CVPB2011,20210125,6.31,6.37,6.15,6.23,236600
CVPB2012,20210125,6.92,6.92,6.5,6.57,173300
CVPB2013,20210125,9.51,9.98,9.01,9.97,5600
CVPB2014,20210125,6.15,6.29,6.0,6.15,14900
CVPB2015,20210125,11.52,11.83,11.37,11.75,26800
CVPB2016,20210125,10.24,10.24,9.7,9.84,139500
CVPB2017,20210125,3.09,3.09,2.9,3.04,29900
VPB,20210122,36.3,36.8,35.75,36.5,4065000
VIB,20210122,34.3,34.3,34.0,34.15,646900
VCB,20210122,103.0,104.0,102.0,103.0,1268500
TPB,20210122,28.3,28.5,27.65,27.7,2745500
TCB,20210122,36.45,36.9,35.8,36.3,12347400
STB,20210122,20.0,20.2,19.7,19.95,29967400
MSB,20210122,18.55,18.75,18.35,18.6,6146500
LPB,20210122,14.25,14.45,14.15,14.35,15290300
MBB,20210122,25.7,25.95,25.3,25.6,12400500
HDB,20210122,25.8,26.45,25.7,26.1,2937200
EIB,20210122,20.3,20.5,20.0,20.5,404000
CTG,20210122,36.95,38.3,36.7,37.6,11333200
ACB,20210122,28.9,29.1,28.5,28.65,5438100
BID,20210122,46.5,46.55,45.1,45.25,2211800
CEIB2001,20210122,2.03,2.03,1.9,1.98,109700
CHDB2007,20210122,3.5,3.58,3.22,3.3,124200
CHDB2008,20210122,3.19,3.2,2.89,3.0,51800
CHDB2101,20210122,2.16,2.16,1.85,2.16,149200
CMBB2008,20210122,10.8,10.8,9.46,9.61,157500
CMBB2009,20210122,5.65,5.7,5.31,5.46,164200
CMBB2010,20210122,10.28,10.68,10.0,10.15,253400
CMBB2011,20210122,10.2,10.21,9.57,9.71,58000
CSTB2006,20210122,5.5,5.5,4.7,4.7,172800
CSTB2007,20210122,5.2,5.2,4.66,4.7,264700
CSTB2010,20210122,4.52,4.59,4.28,4.39,268700
CSTB2011,20210122,6.01,6.5,5.81,6.3,297100
CSTB2012,20210122,7.2,7.8,7.0,7.13,174500
CSTB2013,20210122,8.22,8.38,7.99,8.05,163500
CSTB2014,20210122,8.5,8.62,8.26,8.26,146300
CSTB2015,20210122,4.0,4.0,3.11,3.6,111200
CSTB2016,20210122,3.85,4.25,3.66,3.66,192500
CSTB2017,20210122,6.1,6.3,5.5,5.71,78200
CSTB2101,20210122,2.85,3.43,2.73,3.43,150700
CTCB2009,20210122,14.4,15.4,14.0,14.4,8300
CTCB2010,20210122,8.4,8.4,7.7,7.84,142500
CTCB2011,20210122,13.6,14.14,13.0,13.5,19700
CTCB2012,20210122,14.65,16.04,14.65,15.51,269800
CTCB2013,20210122,14.4,14.49,13.5,13.95,116000
CVPB2010,20210122,12.26,13.19,12.21,12.55,157700
CVPB2011,20210122,6.5,6.87,6.3,6.38,499000
CVPB2012,20210122,6.74,7.17,6.65,6.92,311300
CVPB2013,20210122,10.05,10.2,8.8,10.0,11600
CVPB2014,20210122,6.25,6.5,6.25,6.48,5300
CVPB2015,20210122,12.1,12.32,11.78,11.78,29200
CVPB2016,20210122,9.99,10.5,9.97,10.25,71500
CVPB2017,20210122,3.18,3.18,3.09,3.09,59200
VCB,20210121,99.1,103.0,98.0,103.0,1283700
VIB,20210121,33.5,34.1,33.0,34.1,606100
TPB,20210121,28.0,28.9,27.6,28.5,3197000
TCB,20210121,35.25,36.2,34.5,36.2,14253300
STB,20210121,19.4,20.0,18.85,20.0,34477100
MSB,20210121,18.55,18.6,18.25,18.5,5980900
LPB,20210121,14.25,14.25,13.85,14.2,8957600
MBB,20210121,25.0,25.8,24.4,25.8,14714600
CTG,20210121,36.1,37.0,35.5,37.0,7568900
EIB,20210121,20.2,20.45,19.5,20.0,477800
ACB,20210121,28.8,29.1,28.35,28.95,6535000
BID,20210121,45.6,46.5,45.2,46.5,1347000
CEIB2001,20210121,1.9,2.03,1.8,2.03,64500
CHDB2007,20210121,3.29,3.48,3.09,3.48,151300
CHDB2008,20210121,3.0,3.0,2.7,3.0,75800
CHDB2101,20210121,2.0,2.03,1.65,1.8,914200
CMBB2008,20210121,10.8,10.8,10.59,10.8,16200
CMBB2009,20210121,5.6,5.74,5.4,5.65,165100
CMBB2010,20210121,10.2,10.28,9.25,10.28,290100
CMBB2011,20210121,10.59,10.59,8.78,9.81,69600
CSTB2006,20210121,5.2,5.4,4.35,5.4,48500
CSTB2007,20210121,5.0,5.08,4.5,5.08,212800
CSTB2010,20210121,4.1,5.0,4.1,4.59,396100
CSTB2011,20210121,6.1,6.5,4.9,6.5,312100
CSTB2012,20210121,6.85,7.8,6.39,7.2,232000
CSTB2013,20210121,8.65,8.65,7.2,8.22,132500
CSTB2014,20210121,7.42,8.5,7.42,8.5,184400
CSTB2015,20210121,4.0,4.0,3.4,3.8,74000
CSTB2016,20210121,4.07,4.07,3.43,3.95,191900
CSTB2017,20210121,5.8,6.5,5.2,6.1,86000
CSTB2101,20210121,2.52,2.73,2.4,2.73,505600
CTCB2009,20210121,13.0,14.4,13.0,14.4,100600
CTCB2010,20210121,7.5,8.2,7.3,8.0,226300
CTCB2011,20210121,12.9,13.6,12.5,13.6,7200
CTCB2012,20210121,14.46,15.51,14.3,15.51,68100
CTCB2013,20210121,14.1,14.1,12.3,14.1,129500
CVPB2010,20210121,11.0,12.95,10.81,12.95,25100
CVPB2011,20210121,6.0,6.51,5.71,6.37,242100
CVPB2012,20210121,6.35,6.71,5.7,6.71,239300
CVPB2013,20210121,8.1,10.0,8.1,10.0,5300
CVPB2014,20210121,5.6,6.67,5.6,6.65,36400
CVPB2015,20210121,10.95,12.16,10.32,12.16,155000
